,x,y,z,kernel
143,259,393,5,1
144,306,407,98,1
145,259,425,46,1
146,231,185,64,1
147,234,379,-11,1
148,238,443,56,1
149,267,343,162,1
150,300,334,26,1
151,338,370,112,1
152,253,412,71,1
153,197,357,5,1
154,214,378,57,1
155,325,435,75,1
156,341,326,40,1
157,346,309,85,1
158,294,277,-40,1
159,319,375,55,1
160,298,257,130,1
161,286,289,18,1
162,216,272,-72,1
163,194,335,63,1
164,278,442,12,1
165,314,327,-69,1
166,389,291,91,1
167,382,447,69,1
168,268,256,402,2
169,278,359,370,2
170,301,303,413,2
171,246,281,412,2
172,266,264,337,2
173,360,321,273,2
174,334,256,411,2
175,262,336,453,2
176,353,219,319,2
177,460,355,476,2
178,395,285,374,2
179,306,284,320,2
180,353,344,391,2
181,309,281,348,2
182,370,283,367,2
183,302,269,296,2
184,279,224,303,2
185,344,311,280,2
186,338,182,274,2
187,269,370,269,2
188,249,283,481,2
189,303,325,356,2
190,330,317,331,2
191,308,276,361,2
192,265,326,374,2
193,394,293,448,2
194,417,191,326,2
195,291,292,296,2
196,318,210,418,2
197,351,230,403,2
198,260,303,399,2
199,272,311,423,2
200,226,345,297,2
201,294,319,332,2
202,313,284,311,2
203,430,313,318,2
204,313,251,473,2
205,368,280,339,2
206,338,297,367,2
207,279,260,295,2
208,383,260,337,2
209,329,342,312,2
210,420,378,354,2
211,406,212,344,2
212,340,153,436,2
213,289,252,339,2
214,286,258,336,2
215,348,326,355,2
216,339,273,289,2
217,301,257,372,2
218,205,254,398,2
219,223,147,318,2
220,317,145,323,2
221,289,213,416,2
222,216,275,327,2
223,387,248,420,2
224,278,320,387,2
225,333,262,457,2
226,393,214,406,2
227,319,389,430,2
228,337,344,273,2
229,374,362,300,2
230,276,235,421,2
231,314,355,345,2
232,304,241,446,2
233,328,199,413,2
234,396,383,348,2
235,284,288,330,2
236,364,259,383,2
237,360,280,317,2
238,405,255,469,2
239,424,309,357,2
240,291,296,414,2
241,363,301,447,2
242,296,254,474,2
243,380,271,301,2
244,327,328,402,2
245,300,260,389,2
246,332,302,339,2
247,347,229,418,2
248,283,239,368,2
249,431,285,390,2
250,362,313,450,2
251,399,370,299,2
252,370,216,334,2
253,285,306,398,2
254,260,290,376,2
255,322,280,258,2
256,322,272,411,2
257,364,270,307,2
258,407,184,344,2
259,215,321,408,2
260,327,279,342,2
261,419,272,401,2
262,225,223,395,2
263,399,349,414,2
264,362,226,394,2
265,295,342,283,2
266,336,214,305,2
267,298,261,454,2
268,277,345,361,2
269,284,310,435,2
270,321,278,461,2
271,305,326,319,2
272,330,384,383,2
273,339,297,322,2
274,267,308,349,2
275,266,187,386,2
276,318,279,350,2
277,330,272,343,2
278,354,335,487,2
279,290,202,343,2
280,287,309,440,2
281,260,313,414,2
282,340,288,437,2
283,194,238,406,2
284,387,363,387,2
285,258,304,367,2
286,334,254,216,2
287,376,284,358,2
288,354,298,423,2
289,183,283,425,2
290,402,312,373,2
291,314,234,390,2
292,347,351,382,2
293,337,245,398,2
294,231,309,441,2
295,243,257,343,2
296,279,283,380,2
297,247,225,362,2
298,304,236,315,2
299,401,363,439,2
300,441,258,391,2
301,358,377,380,2
302,323,266,374,2
303,315,251,353,2
304,298,268,299,2
305,269,329,403,2
306,329,265,388,2
307,344,309,346,2
308,335,312,338,2
309,375,272,314,2
310,265,243,312,2
311,361,297,390,2
312,280,380,386,2
313,345,236,346,2
314,297,313,396,2
315,432,193,325,2
316,301,249,431,2
317,365,241,343,2
318,313,228,332,2
319,376,244,415,2
320,345,307,412,2
321,375,192,308,2
322,379,287,364,2
323,307,359,346,2
324,284,215,280,2
325,386,335,320,2
326,271,304,385,2
327,433,298,329,2
328,327,222,361,2
329,252,96,410,2
330,267,275,242,2
331,344,193,407,2
332,277,279,436,2
333,341,211,384,2
334,334,164,462,2
335,247,235,358,2
336,296,103,355,3
337,243,49,417,3
338,198,110,453,3
339,251,121,264,3
340,300,181,357,3
341,232,50,376,3
342,218,151,354,3
343,147,103,487,3
344,305,113,339,3
345,223,141,348,3
346,186,149,309,3
347,196,49,364,3
348,254,64,394,3
349,269,29,282,3
350,217,23,376,3
351,264,132,292,3
352,221,52,321,3
353,197,-22,343,3
354,232,49,286,3
355,225,-49,420,3
356,304,-13,319,3
357,169,30,352,3
358,318,34,408,3
359,224,72,393,3
360,188,51,376,3
361,309,70,369,3
362,301,99,372,3
363,141,32,362,3
364,199,91,379,3
365,187,110,378,3
366,280,143,384,3
367,227,33,412,3
368,165,60,353,3
369,205,-9,383,3
370,141,65,357,3
371,327,150,302,3
372,243,122,352,3
373,210,162,418,3
374,231,44,431,3
375,199,15,353,3
376,344,41,343,3
377,167,14,400,3
378,325,133,425,3
379,201,80,275,3
380,178,92,285,3
381,273,90,316,3
382,169,90,326,3
383,266,57,315,3
384,191,149,414,3
385,249,238,374,3
386,288,71,288,3
387,188,15,385,3
388,154,37,326,3
389,158,134,480,3
390,257,62,367,3
391,237,106,335,3
392,170,78,382,3
393,298,32,296,3
394,292,172,278,3
395,260,142,376,3
396,144,7,333,3
397,204,70,344,3
398,185,-2,430,3
399,198,38,315,3
400,229,100,334,3
401,206,44,391,3
402,278,126,405,3
403,213,162,410,3
404,190,-44,371,3
405,106,32,359,3
406,243,103,357,3
407,200,15,283,3
408,283,153,252,3
409,223,136,436,3
410,111,71,344,3
411,256,97,472,3
412,268,117,423,3
413,163,-31,294,3
414,280,156,249,3
415,260,-15,407,3
416,168,90,330,3
417,145,92,413,3
418,105,116,377,3
419,187,68,377,3
420,216,135,381,3
421,223,180,239,3
422,203,78,351,3
423,234,176,396,3
424,200,83,410,3
425,271,160,313,3
426,247,139,355,3
427,300,166,368,3
428,308,61,352,3
429,188,112,383,3
430,274,186,239,3
431,312,169,389,3
432,271,147,367,3
433,259,137,510,3
434,248,32,432,3
435,203,97,454,3
436,243,54,247,3
437,199,89,367,3
438,243,99,340,3
439,320,49,467,3
440,221,-18,347,3
441,179,55,414,3
442,351,120,340,3
443,222,-27,354,3
444,220,94,415,3
445,255,-42,341,3
446,208,156,344,3
447,153,82,284,3
448,255,131,337,3
449,196,121,289,3
450,123,77,189,3
451,189,142,338,3
452,162,93,447,3
453,186,84,412,3
454,224,117,347,3
455,211,212,374,3
456,196,99,492,3
457,144,12,355,3
458,309,154,452,3
459,202,236,349,3
460,264,79,342,3
461,271,131,494,3
462,201,69,272,3
463,253,-38,381,3
464,210,180,298,3
465,280,110,399,3
466,319,25,385,3
467,94,73,369,3
468,241,88,382,3
469,270,26,345,3
470,174,136,316,3
471,244,110,470,3
472,250,150,389,3
473,177,72,386,3
474,128,72,305,3
475,190,89,377,3
476,208,8,359,3
477,219,157,418,3
478,179,90,312,3
479,333,116,356,3
480,107,106,412,3
481,293,67,366,3
482,306,117,286,3
483,310,126,390,3
484,154,73,353,3
485,309,11,423,3
486,208,72,411,3
487,206,44,247,3
488,387,135,314,3
489,197,19,371,3
490,254,92,385,3
491,215,98,397,3
492,256,90,200,3
493,277,219,362,3
494,272,54,356,3
495,216,81,214,3
496,208,-5,398,3
497,132,106,414,3
498,364,53,368,3
499,233,163,437,3
500,172,175,378,3
501,88,61,383,3
502,219,79,370,3
503,338,54,335,3
